index,rank,song,artist_base,artist_all,year,artist_featured
59,60,one,u2,u2,1992,
60,61,keep on walkin',cece peniston,cece peniston,1992,
61,62,hold on my heart,genesis,genesis,1992,
62,63,the way i feel about you,karyn white,karyn white,1992,
63,64,beauty and the beast,celine dion,celine dion  and  peabo bryson,1992,
64,65,warm it up,kris kross,kris kross,1992,
65,66,in the closet,michael jackson,michael jackson,1992,
66,67,people everyday,arrested development,arrested development,1992,
67,68,no son of mine,genesis,genesis,1992,
68,69,wildside,marky mark and the funky bunch,marky mark and the funky bunch,1992,
69,70,do i have to say the words?,bryan adams,bryan adams,1992,
70,71,friday i'm in love,the cure,the cure,1992,
71,72,everything about you,ugly kid joe,ugly kid joe,1992,
72,73,blowing kisses in the wind,paula abdul,paula abdul,1992,
73,74,thought i'd died and gone to heaven,bryan adams,bryan adams,1992,
74,75,rhythm is a dancer,snap!,snap!,1992,
75,76,addams groove,mc hammer,hammer,1992,
76,77,missing you now,michael bolton,michael bolton,1992,
77,78,back to the hotel,n2deep,n2deep,1992,
78,79,everything changes,kathy troccoli,kathy troccoli,1992,
79,80,have you ever needed someone so bad,def leppard,def leppard,1992,
80,81,take this heart,richard marx,richard marx,1992,
81,82,when i look into your eyes,firehouse,firehouse,1992,
82,83,i wanna love you,jade,jade,1992,
83,84,uhh ahh,boyz ii men,boyz ii men,1992,
84,85,real love,mary j. blige,mary j. blige,1992,
85,86,justified and ancient,the klf,the klf,1992,
86,87,slow motion,color me badd,color me badd,1992,
87,88,what about your friends,tlc,tlc,1992,
88,89,thinkin' back,color me badd,color me badd,1992,
89,90,would i lie to you?,charles & eddie,charles & eddie,1992,
90,91,that's what love is for,amy grant,amy grant,1992,
91,92,keep coming back,richard marx,richard marx,1992,
92,93,free your mind,en vogue,en vogue,1992,
93,94,keep it comin',keith sweat,keith sweat,1992,
94,95,just take my heart,mr. big,mr. big,1992,
95,96,i will remember you,amy grant,amy grant,1992,
96,97,we got a love thang,cece peniston,cece peniston,1992,
97,98,let's get rocked,def leppard,def leppard,1992,
98,99,they want efx,das efx,das efx,1992,
99,100,i can't make you love me,bonnie raitt,bonnie raitt,1992,
0,1,i will always love you,whitney houston,whitney houston,1993,
1,2,whoomp! (there it is),tag team,tag team,1993,
2,3,can't help falling in love,ub40,ub40,1993,
3,4,that's the way love goes,janet jackson,janet jackson,1993,
4,5,freak me,silk,silk,1993,
5,6,weak,swv,swv,1993,
6,7,if i ever fall in love,shai,shai,1993,
7,8,dreamlover,mariah carey,mariah carey,1993,
8,9,rump shaker,wreckx-n-effect,wreckx-n-effect,1993,
9,10,informer,snow,snow,1993,
10,11,nuthin' but a 'g' thang,dr. dre,dr. dre,1993,
11,12,in the still of the nite,boyz ii men,boyz ii men,1993,
12,13,don't walk away,jade,jade,1993,
13,14,knockin' da boots,h-town,h-town,1993,
14,15,lately,jodeci,jodeci,1993,
15,16,dazzey duks,duice,duice,1993,
16,17,show me love,robin s.,robin s.,1993,
17,18,a whole new world,peabo bryson,peabo bryson  and  regina belle,1993,
18,19,if,janet jackson,janet jackson,1993,
19,20,i'm so into you,swv,swv,1993,
20,21,love is,vanessa l. williams,vanessa williams  and  brian mcknight,1993,
21,22,runaway train,soul asylum,soul asylum,1993,
22,23,i'll never get over you (getting over me),exposé,exposé,1993,
23,24,ditty,paperboy,paperboy,1993,
24,25,rhythm is a dancer,snap!,snap!,1993,
25,26,the river of dreams,billy joel,billy joel,1993,
26,27,i'm gonna be (500 miles),the proclaimers,the proclaimers,1993,
27,28,two princes,spin doctors,spin doctors,1993,
28,29,right here,swv,swv,1993,
29,30,i have nothing,whitney houston,whitney houston,1993,
30,31,mr. wendal,arrested development,arrested development,1993,
31,32,have i told you lately,rod stewart,rod stewart,1993,
32,33,saving forever for you,shanice,shanice,1993,
33,34,ordinary world,duran duran,duran duran,1993,
34,35,if i had no loot,tony! toni! toné!,tony! toni! toné!,1993,
35,36,i'd do anything for love (but i won't do that),meat loaf,meat loaf,1993,
36,37,slam,onyx,onyx,1993,
37,38,looking through patient eyes,p.m. dawn,p.m. dawn,1993,
38,39,i'm every woman,whitney houston,whitney houston,1993,
39,40,baby i'm yours,shai,shai,1993,
40,41,come undone,duran duran,duran duran,1993,
41,42,i don't wanna fight,tina turner,tina turner,1993,
42,43,i'd die without you,p.m. dawn,p.m. dawn,1993,
43,44,"whoot, there it is",95 south,95 south,1993,
44,45,hip hop hooray,naughty by nature,naughty by nature,1993,
45,46,another sad love song,toni braxton,toni braxton,1993,
46,47,will you be there,michael jackson,michael jackson,1993,
47,48,comforter,shai,shai,1993,
48,49,good enough,bobby brown,bobby brown,1993,
49,50,what's up?,4 non blondes,4 non blondes,1993,
50,51,all that she wants,ace of base,ace of base,1993,
51,52,7,prince,prince  and  the new power generation,1993,
52,53,dre day,immature,dr. dre  featuring  snoop doggy dogg,1993, snoop doggy dogg
53,54,one last cry,brian mcknight,brian mcknight,1993,
54,55,just kickin' it,xscape,xscape,1993,
55,56,i get around,tupac shakur,2pac,1993,
56,57,bed of roses,bon jovi,bon jovi,1993,
57,58,real love,mary j. blige,mary j. blige,1993,
58,59,here we go again!,portrait,portrait,1993,
59,60,cryin',aerosmith,aerosmith,1993,
60,61,cat's in the cradle,2pac,ugly kid joe,1993,
61,62,what about your friends,tlc,tlc,1993,
62,63,i got a man,positive k,positive k,1993,
63,64,hey mr. d.j.,zhané,zhané,1993,
64,65,insane in the brain,cypress hill,cypress hill,1993,
65,66,deeper and deeper,madonna,madonna,1993,
66,67,rain,madonna,madonna,1993,
67,68,the right kind of love,jeremy jordan,jeremy jordan,1993,
68,69,bad boys,inner circle,inner circle,1993,
69,70,that's what love can do,boy krazy,boy krazy,1993,
70,71,do you believe in us,jon secada,jon secada,1993,
71,72,angel,jon secada,jon secada,1993,
72,73,forever in love,kenny g,kenny g,1993,
73,74,again,janet jackson,janet jackson,1993,
74,75,boom! shake the room,dj jazzy jeff & the fresh prince,dj jazzy jeff & the fresh prince,1993,
75,76,when she cries,restless heart,restless heart,1993,
76,77,sweat (a la la la la long),inner circle,inner circle,1993,
77,78,it was a good day,ice cube,ice cube,1993,
78,79,more and more,captain hollywood project,captain hollywood project,1993,
79,80,how do you talk to an angel,the heights,the heights,1993,
80,81,rebirth of slick (cool like dat),digable planets,digable planets,1993,
81,82,what is love,haddaway,haddaway,1993,
82,83,to love somebody,michael bolton,michael bolton,1993,
83,84,"give it up, turn it loose",en vogue,en vogue,1993,
84,85,alright,kris kross,kris kross,1993,
85,86,check yo self,ice cube,ice cube  featuring  das efx,1993, das efx
86,87,fields of gold,sting,sting,1993,
87,88,ooh child,dino,dino,1993,
88,89,faithful,go west,go west,1993,
89,90,reason to believe,rod stewart,rod stewart,1993,
90,91,break it down again,tears for fears,tears for fears,1993,
91,92,nothin' my love can't fix,joey lawrence,joey lawrence,1993,
92,93,three little pigs,green jellÿ,green jellÿ,1993,
93,94,livin' on the edge,aerosmith,aerosmith,1993,
94,95,hey jealousy,gin blossoms,gin blossoms,1993,
95,96,if i ever lose my faith in you,sting,sting,1993,
96,97,anniversary,tony! toni! toné!,tony! toni! toné!,1993,
97,98,one woman,jade,jade,1993,
98,99,can't get enough of your love,taylor dayne,taylor dayne,1993,
99,100,two steps behind,brandy,def leppard,1993,
0,1,the sign,ace of base,ace of base,1994,
1,2,i swear,all-4-one,all-4-one,1994,
2,3,i'll make love to you,boyz ii men,boyz ii men,1994,
3,4,the power of love,céline dion,céline dion,1994,
4,5,hero,mariah carey,mariah carey,1994,
5,6,stay (i missed you),lisa loeb,lisa loeb and nine stories,1994,
6,7,breathe again,toni braxton,toni braxton,1994,
7,8,all for love,bryan adams,"bryan adams ,  rod stewart  and  sting",1994,
8,9,all that she wants,ace of base,ace of base,1994,
9,10,don't turn around,ace of base,ace of base,1994,
10,11,bump n' grind,r. kelly,r. kelly,1994,
11,12,again,janet jackson,janet jackson,1994,
12,13,i'll remember,madonna,madonna,1994,
13,14,whatta man,salt-n-pepa,salt-n-pepa  and  en vogue,1994,
14,15,wild night,john mellencamp,john mellencamp  featuring  meshell ndegeocello,1994, meshell ndegeocello
15,16,without you,mariah carey,mariah carey,1994,
16,17,you mean the world to me,toni braxton,toni braxton,1994,
17,18,can you feel the love tonight,elton john,elton john,1994,
18,19,the most beautiful girl in the world,prince,prince,1994,
19,20,fantastic voyage,coolio,coolio,1994,
20,21,"baby, i love your way",big mountain,big mountain,1994,
21,22,regulate,warren g,warren g  featuring  nate dogg,1994, nate dogg
22,23,if you go,jon secada,jon secada,1994,
23,24,back & forth,aaliyah,aaliyah,1994,
24,25,now and forever,richard marx,richard marx,1994,
25,26,when can i see you,babyface,babyface,1994,
26,27,please forgive me,bryan adams,bryan adams,1994,
27,28,so much in love,all-4-one,all-4-one,1994,
28,29,shoop,salt-n-pepa,salt-n-pepa,1994,
29,30,"any time, any place",janet jackson,janet jackson,1994,
30,31,shine,vanessa williams,collective soul,1994,
31,32,said i loved you...but i lied,michael bolton,michael bolton,1994,
32,33,return to innocence,enigma,enigma,1994,
33,34,all i wanna do,sheryl crow,sheryl crow,1994,
34,35,mmm mmm mmm mmm,crash test dummies,crash test dummies,1994,
35,36,can we talk,tevin campbell,tevin campbell,1994,
36,37,funkdafied,brandy,da brat,1994,
37,38,i'd do anything for love (but i won't do that),meat loaf,meat loaf,1994,
38,39,gangsta lean,drs,drs,1994,
39,40,because the night,"10,000 maniacs","10,000 maniacs",1994,
40,41,cantaloop (flip fantasia),us3,us3,1994,
41,42,whoomp! (there it is),tag team,tag team,1994,
42,43,come to my window,melissa etheridge,melissa etheridge,1994,
43,44,stroke you up,changing faces,changing faces,1994,
44,45,i'm ready,tevin campbell,tevin campbell,1994,
45,46,100% pure love,crystal waters,crystal waters,1994,
46,47,anytime you need a friend,mariah carey,mariah carey,1994,
47,48,because of love,janet jackson,janet jackson,1994,
48,49,linger,brandy,the cranberries,1994,
49,50,loser,beck,beck,1994,
50,51,found out about you,2pac,gin blossoms,1994,
51,52,gin and juice,snoop dogg,snoop doggy dogg,1994,
52,53,never lie,imx,immature,1994,
53,54,streets of philadelphia,bruce springsteen,bruce springsteen,1994,
54,55,getto jam,domino,domino,1994,
55,56,endless love,luther vandross,luther vandross  and  mariah carey,1994,
56,57,i miss you,aaron hall,aaron hall,1994,
57,58,understanding,xscape,xscape,1994,
58,59,this d.j.,warren g,warren g,1994,
59,60,cry for you,jodeci,jodeci,1994,
60,61,keep ya head up,tupac shakur,2pac,1994,
61,62,what's my name?,snoop dogg,snoop doggy dogg,1994,
62,63,another night,real mccoy,real mccoy,1994,
63,64,your body's callin',r. kelly,r. kelly,1994,
64,65,tootsee roll,69 boyz,69 boyz,1994,
65,66,i can see clearly now,jimmy cliff,jimmy cliff,1994,
66,67,never keeping secrets,babyface,babyface,1994,
67,68,crazy,aerosmith,aerosmith,1994,
68,69,just kickin' it,xscape,xscape,1994,
69,70,(at your best) you are love,aaliyah,aaliyah,1994,
70,71,rock and roll dreams come through,meat loaf,meat loaf,1994,
71,72,amazing,aerosmith,aerosmith,1994,
72,73,always,erasure,erasure,1994,
73,74,groove thang,zhané,zhané,1994,
74,75,dreams,vanessa williams,gabrielle,1994,
75,76,mr. vain,culture beat,culture beat,1994,
76,77,mary jane's last dance,tom petty and the heartbreakers,tom petty and the heartbreakers,1994,
77,78,anything,swv,swv,1994,
78,79,beautiful in my eyes,joshua kadison,joshua kadison,1994,
79,80,stay,immature,eternal,1994,
80,81,flava in ya ear,craig mack,craig mack,1994,
81,82,u.n.i.t.y.,queen latifah,queen latifah,1994,
82,83,prayer for the dying,seal,seal,1994,
83,84,secret,madonna,madonna,1994,
84,85,here comes the hotstepper,ini kamoze,ini kamoze,1994,
85,86,everyday,phil collins,phil collins,1994,
86,87,don't take the girl,tim mcgraw,tim mcgraw,1994,
87,88,got me waiting,heavy d,heavy d & the boyz,1994,
88,89,"december, 1963 (oh, what a night)",the four seasons,the four seasons,1994,
89,90,indian outlaw,tim mcgraw,tim mcgraw,1994,
90,91,always,bon jovi,bon jovi,1994,
91,92,i'm the only one,melissa etheridge,melissa etheridge,1994,
92,93,back in the day,ahmad,ahmad,1994,
93,94,love sneakin' up on you,bonnie raitt,bonnie raitt,1994,
94,95,i'll take you there,general public,general public,1994,
95,96,always in my heart,tevin campbell,tevin campbell,1994,
96,97,what is love,haddaway,haddaway,1994,
97,98,and our feelings,brandy,babyface,1994,
98,99,bop gun (one nation),ice cube,ice cube  featuring  george clinton,1994, george clinton
99,100,i wanna be down,brandy norwood,brandy,1994,
0,1,gangsta's paradise,coolio,coolio  featuring  l.v.,1995, l.v.
1,2,waterfalls,tlc,tlc,1995,
2,3,creep,tlc,tlc,1995,
3,4,kiss from a rose,seal,seal,1995,
4,5,on bended knee,boyz ii men,boyz ii men,1995,
5,6,another night,real mccoy,real mccoy,1995,
6,7,fantasy,mariah carey,mariah carey,1995,
7,8,take a bow,madonna,madonna,1995,
8,9,don't take it personal (just one of dem days),monica,monica,1995,
9,10,this is how we do it,montell jordan,montell jordan,1995,
10,11,i know,dionne farris,dionne farris,1995,
11,12,water runs dry,boyz ii men,boyz ii men,1995,
12,13,freak like me,adina howard,adina howard,1995,
13,14,run-around,blues traveler,blues traveler,1995,
14,15,i can love you like that,all-4-one,all-4-one,1995,
15,16,have you ever really loved a woman?,brandy,bryan adams,1995,
16,17,always,bon jovi,bon jovi,1995,
17,18,boombastic,shaggy,shaggy,1995,
18,19,total eclipse of the heart,nicki french,nicki french,1995,
19,20,you gotta be,des'ree,des'ree,1995,
20,21,you are not alone,michael jackson,michael jackson,1995,
21,22,hold my hand,hootie & the blowfish,hootie & the blowfish,1995,
22,23,one more chance,the notorious b.i.g.,the notorious b.i.g.,1995,
23,24,here comes the hotstepper,ini kamoze,ini kamoze,1995,
24,25,candy rain,soul for real,soul for real,1995,
25,26,let her cry,hootie & the blowfish,hootie & the blowfish,1995,
26,27,i believe,blessid union of souls,blessid union of souls,1995,
27,28,red light special,tlc,tlc,1995,
28,29,runaway,janet jackson,janet jackson,1995,
29,30,strong enough,sheryl crow,sheryl crow,1995,
30,31,colors of the wind,vanessa l. williams,vanessa williams,1995,
31,32,someone to love,jon b.,jon b.,1995,
32,33,only wanna be with you,hootie & the blowfish,hootie & the blowfish,1995,
33,34,if you love me,brownstone,brownstone,1995,
34,35,in the house of stone and light,martin page,martin page,1995,
35,36,i got 5 on it,luniz,luniz,1995,
36,37,baby,brandy norwood,brandy,1995,
37,38,run away,real mccoy,real mccoy,1995,
38,39,as i lay me down,sophie b. hawkins,sophie b. hawkins,1995,
39,40,he's mine,mokenstef,mokenstef,1995,
40,41,december,collective soul,collective soul,1995,
41,42,i'll be there for you/you're all i need to get by,method man,method man  featuring  mary j. blige,1995, mary j. blige
42,43,shy guy,diana king,diana king,1995,
43,44,i'm the only one,melissa etheridge,melissa etheridge,1995,
44,45,every little thing i do,soul for real,soul for real,1995,
45,46,before i let you go,blackstreet,blackstreet,1995,
46,47,big poppa,the notorious b.i.g.,the notorious b.i.g.,1995,
47,48,sukiyaki,4 p.m.,4 p.m.,1995,
48,49,i wanna be down,brandy norwood,brandy,1995,
49,50,i'll make love to you,boyz ii men,boyz ii men,1995,
50,51,dear mama,tupac shakur,2pac,1995,
51,52,hold on,jamie walters,jamie walters,1995,
52,53,keep their heads ringin',dr. dre,dr. dre,1995,
53,54,the rhythm of the night,corona,corona,1995,
54,55,roll to me,del amitri,del amitri,1995,
55,56,scream,michael jackson,michael jackson  and  janet jackson,1995,
56,57,freek'n you,jodeci,jodeci,1995,
57,58,i wish,skee-lo,skee-lo,1995,
58,59,believe,elton john,elton john,1995,
59,60,carnival,natalie merchant,natalie merchant,1995,
60,61,you don't know how it feels,tom petty,tom petty,1995,
61,62,back for good,take that,take that,1995,
62,63,tootsee roll,69 boyz,69 boyz,1995,
63,64,you want this,janet jackson,janet jackson,1995,
64,65,tell me,groove theory,groove theory,1995,
65,66,can't you see,total,total  featuring  the notorious b.i.g.,1995, the notorious b.i.g.
66,67,all i wanna do,sheryl crow,sheryl crow,1995,
67,68,this lil' game we play,subway,subway  featuring  702,1995, 702
68,69,come and get your love,real mccoy,real mccoy,1995,
69,70,this ain't a love song,bon jovi,bon jovi,1995,
70,71,secret,madonna,madonna,1995,
71,72,player's anthem,junior m.a.f.i.a.,junior m.a.f.i.a.  featuring  the notorious b.i.g.,1995, the notorious b.i.g.
72,73,feel me flow,naughty by nature,naughty by nature,1995,
73,74,every day of the week,jade,jade,1995,
74,75,the sweetest days,vanessa l. williams,vanessa williams,1995,
75,76,short dick man,20 fingers,20 fingers  featuring  gillette,1995, gillette
76,77,brokenhearted,brandy,brandy  featuring  wanya morris,1995, wanya morris
77,78,no more i love you's,annie lennox,annie lennox,1995,
78,79,you used to love me,faith evans,faith evans,1995,
79,80,constantly,imx,immature,1995,
80,81,"hold me, thrill me, kiss me, kill me",u2,u2,1995,
81,82,100% pure love,crystal waters,crystal waters,1995,
82,83,ask of you,raphael saadiq,raphael saadiq,1995,
83,84,sugar hill,az,az,1995,
84,85,good,better than ezra,better than ezra,1995,
85,86,brown sugar,d'angelo,d'angelo,1995,
86,87,turn the beat around,gloria estefan,gloria estefan,1995,
87,88,'til you do me right,after 7,after 7,1995,
88,89,1st of tha month,bone thugs-n-harmony,bone thugs-n-harmony,1995,
89,90,like the way i do,melissa etheridge,melissa etheridge,1995,
90,91,i live my life for you,firehouse,firehouse,1995,
91,92,dream about you,stevie b,stevie b,1995,
92,93,cotton eye joe,rednex,rednex,1995,
93,94,thank you,boyz ii men,boyz ii men,1995,
94,95,i'll stand by you,the pretenders,the pretenders,1995,
95,96,i miss you,n ii u,n ii u,1995,
96,97,give it 2 you,da brat,da brat,1995,
97,98,best friend,brandy norwood,brandy,1995,
98,99,misery,soul asylum,soul asylum,1995,
99,100,can't stop lovin' you,van halen,van halen,1995,
0,1,macarena,los del río,los del río,1996,
1,2,one sweet day,mariah carey,mariah carey  and  boyz ii men,1996,
2,3,because you loved me,puff daddy,celine dion,1996,
3,4,nobody knows,tony rich,the tony rich project,1996,
4,5,always be my baby,puff daddy,mariah carey,1996,
5,6,give me one reason,tracy chapman,tracy chapman,1996,
6,7,tha crossroads,bone thugs-n-harmony,bone thugs-n-harmony,1996,
7,8,i love you always forever,donna lewis,donna lewis,1996,
8,9,you're makin' me high,toni braxton,toni braxton,1996,
9,10,twisted,keith sweat,keith sweat,1996,
10,11,c'mon n' ride it (the train),quad city dj's,quad city dj's,1996,
11,12,missing,everything but the girl,everything but the girl,1996,
12,13,ironic,alanis morissette,alanis morissette,1996,
13,14,exhale (shoop shoop),whitney houston,whitney houston,1996,
14,15,follow you down,gin blossoms,gin blossoms,1996,
15,16,sittin' up in my room,brandy norwood,brandy,1996,
16,17,how do u want it,2pac,2pac  featuring  k-ci and jojo,1996, k-ci and jojo
17,18,it's all coming back to me now,celine dion,celine dion,1996,
18,19,change the world,eric clapton,eric clapton,1996,
19,20,hey lover,ll cool j,ll cool j,1996,
20,21,loungin,ll cool j,ll cool j,1996,
21,22,insensitive,jann arden,jann arden,1996,
22,23,be my lover,la bouche,la bouche,1996,
23,24,name,goo goo dolls,goo goo dolls,1996,
24,25,who will save your soul,jewel,jewel,1996,
25,26,where do you go,no mercy,no mercy,1996,
26,27,i can't sleep baby (if i),r. kelly,r. kelly,1996,
27,28,counting blue cars,dishwalla,dishwalla,1996,
28,29,you learn,alanis morissette,alanis morissette,1996,
29,30,one of us,joan osborne,joan osborne,1996,
30,31,wonder,natalie merchant,natalie merchant,1996,
31,32,not gon' cry,mary j. blige,mary j. blige,1996,
32,33,gangsta's paradise,coolio,coolio  featuring  l.v.,1996, l.v.
33,34,only you,112,112  featuring  the notorious b.i.g.  and  mase,1996, the notorious b.i.g.  and  mase
34,35,down low (nobody has to know),r. kelly,r. kelly  featuring  the isley brothers,1996, the isley brothers
35,36,you're the one,swv,swv,1996,
36,37,sweet dreams,la bouche,la bouche,1996,
37,38,before you walk out of my life,monica,monica,1996,
38,39,breakfast at tiffany's,deep blue something,deep blue something,1996,
39,40,"1, 2, 3, 4 (sumpin' new)",coolio,coolio,1996,
40,41,the world i know,collective soul,collective soul,1996,
41,42,no diggity,blackstreet,blackstreet  featuring  dr. dre,1996, dr. dre
42,43,anything,3t,3t,1996,
43,44,1979,the smashing pumpkins,the smashing pumpkins,1996,
44,45,diggin' on you,tlc,tlc,1996,
45,46,why i love you so much,monica,monica,1996,
46,47,kissin' you,total,total,1996,
47,48,count on me,whitney houston,whitney houston  featuring  cece winans,1996, cece winans
48,49,fantasy,mariah carey,mariah carey,1996,
49,50,time,hootie & the blowfish,hootie & the blowfish,1996,
50,51,you'll see,madonna,madonna,1996,
51,52,last night,az yet,az yet,1996,
52,53,mouth,merril bainbridge,merril bainbridge,1996,
53,54,"the earth, the sun, the rain",color me badd,color me badd,1996,
54,55,all the things (your man won't do),joe,joe,1996,
55,56,wonderwall,oasis,oasis,1996,
56,57,woo hah!! got you all in check,busta rhymes,busta rhymes,1996,
57,58,tell me,groove theory,groove theory,1996,
58,59,elevators (me & you),outkast,outkast,1996,
59,60,hook,blues traveler,blues traveler,1996,
60,61,doin' it,ll cool j,ll cool j,1996,
61,62,fastlove,george michael,george michael,1996,
62,63,"touch me, tease me",case,case  featuring  foxy brown,1996, foxy brown
63,64,tonite's tha night,kris kross,kris kross,1996,
64,65,children,robert miles,robert miles,1996,
65,66,theme from mission: impossible,adam clayton,adam clayton  and  larry mullen,1996,
66,67,closer to free,bodeans,bodeans,1996,
67,68,just a girl,no doubt,no doubt,1996,
68,69,if your girl only knew,aaliyah,aaliyah,1996,
69,70,lady,d'angelo,d'angelo,1996,
70,71,key west intermezzo (i saw you first),john mellencamp,john mellencamp,1996,
71,72,pony,ginuwine,ginuwine,1996,
72,73,nobody,keith sweat,keith sweat  featuring  athena cage,1996, athena cage
73,74,old man and me (when i get to heaven),hootie & the blowfish,hootie & the blowfish,1996,
74,75,if it makes you happy,sheryl crow,sheryl crow,1996,
75,76,as i lay me down,sophie b. hawkins,sophie b. hawkins,1996,
76,77,"keep on, keepin' on",mc lyte,mc lyte  featuring  xscape,1996, xscape
77,78,jealousy,natalie merchant,natalie merchant,1996,
78,79,i want to come over,melissa etheridge,melissa etheridge,1996,
79,80,who do u love,deborah cox,deborah cox,1996,
80,81,un-break my heart,toni braxton,toni braxton,1996,
81,82,this is your night,amber,amber,1996,
82,83,you remind me of something,r. kelly,r. kelly,1996,
83,84,runaway,janet jackson,janet jackson,1996,
84,85,set u free,planet soul,planet soul,1996,
85,86,hit me off,new edition,new edition,1996,
86,87,no one else,total,total,1996,
87,88,my boo,ghost town dj's,ghost town dj's,1996,
88,89,get money,junior m.a.f.i.a.,junior m.a.f.i.a.  featuring  the notorious b.i.g.,1996, the notorious b.i.g.
89,90,that girl,maxi priest,maxi priest  featuring  shaggy,1996, shaggy
90,91,po pimp,do or die,do or die  featuring  twista,1996, twista
91,92,until it sleeps,metallica,metallica,1996,
92,93,hay,crucial conflict,crucial conflict,1996,
93,94,beautiful life,ace of base,ace of base,1996,
94,95,back for good,take that,take that,1996,
95,96,i got id,pearl jam,pearl jam,1996,
96,97,soon as i get home,faith evans,faith evans,1996,
97,98,macarena,los del río,los del río,1996,
98,99,only wanna be with you,hootie & the blowfish,hootie & the blowfish,1996,
99,100,don't cry,seal,seal,1996,
0,1,something about the way you look tonight,elton john,elton john,1997,
1,2,foolish games,brandy,jewel,1997,
2,3,i'll be missing you,sean combs,puff daddy  featuring  faith evans  and  112,1997, faith evans  and  112
3,4,un-break my heart,toni braxton,toni braxton,1997,
4,5,can't nobody hold me down,sean combs,puff daddy  featuring  mase,1997, mase
5,6,i believe i can fly,r. kelly,r. kelly,1997,
6,7,don't let go (love),en vogue,en vogue,1997,
7,8,return of the mack,mark morrison,mark morrison,1997,
8,9,how do i live,leann rimes,leann rimes,1997,
9,10,wannabe,spice girls,spice girls,1997,
10,11,quit playing games (with my heart),backstreet boys,backstreet boys,1997,
11,12,mmmbop,hanson,hanson,1997,
12,13,for you i will,monica,monica,1997,
13,14,you make me wanna...,usher,usher,1997,
14,15,bitch,meredith brooks,meredith brooks,1997,
15,16,nobody,keith sweat,keith sweat  featuring  athena cage,1997, athena cage
16,17,semi-charmed life,third eye blind,third eye blind,1997,
17,18,barely breathing,duncan sheik,duncan sheik,1997,
18,19,hard to say i'm sorry,puff daddy,az yet  featuring  peter cetera,1997, peter cetera
19,20,mo money mo problems,the notorious b.i.g.,the notorious b.i.g.  featuring  puff daddy  and  mase,1997, puff daddy  and  mase
20,21,the freshmen,the verve pipe,the verve pipe,1997,
21,22,i want you,savage garden,savage garden,1997,
22,23,no diggity,blackstreet,blackstreet  featuring  dr. dre,1997, dr. dre
23,24,i belong to you (every time i see your face),rome,rome,1997,
24,25,hypnotize,the notorious b.i.g.,the notorious b.i.g.,1997,
25,26,every time i close my eyes,babyface,babyface,1997,
26,27,in my bed,dru hill,dru hill,1997,
27,28,say you'll be there,spice girls,spice girls,1997,
28,29,do you know (what it takes),robyn,robyn,1997,
29,30,4 seasons of loneliness,boyz ii men,boyz ii men,1997,
30,31,g.h.e.t.t.o.u.t.,changing faces,changing faces,1997,
31,32,honey,mariah carey,mariah carey,1997,
32,33,i believe in you and me,whitney houston,whitney houston,1997,
33,34,da' dip,freak nasty,freak nasty,1997,
34,35,2 become 1,spice girls,spice girls,1997,
35,36,all for you,sister hazel,sister hazel,1997,
36,37,cupid,112,112,1997,
37,38,where have all the cowboys gone?,paula cole,paula cole,1997,
38,39,sunny came home,shawn colvin,shawn colvin,1997,
39,40,it's your love,tim mcgraw,tim mcgraw  and  faith hill,1997,
40,41,ooh aah... just a little bit,gina g,gina g,1997,
41,42,mouth,merril bainbridge,merril bainbridge,1997,
42,43,all cried out,allure,allure  featuring  112,1997, 112
43,44,i'm still in love with you,new edition,new edition,1997,
44,45,invisible man,98 degrees,98 degrees,1997,
45,46,not tonight,lil' kim,"lil' kim  featuring  da brat ,  left eye ,  missy elliott  and  angie martinez",1997," da brat ,  left eye ,  missy elliott  and  angie martinez"
46,47,look into my eyes,puff daddy,bone thugs-n-harmony,1997,
47,48,get it together,702,702,1997,
48,49,all by myself,celine dion,celine dion,1997,
49,50,it's all coming back to me now,celine dion,celine dion,1997,
50,51,my love is the shhh!,somethin' for the people,somethin' for the people  featuring  trina & tamara,1997, trina & tamara
51,52,where do you go,no mercy,no mercy,1997,
52,53,i finally found someone,barbra streisand,barbra streisand  and  bryan adams,1997,
53,54,i'll be,foxy brown,foxy brown  featuring  jay-z,1997, jay-z
54,55,if it makes you happy,sheryl crow,sheryl crow,1997,
55,56,never make a promise,dru hill,dru hill,1997,
56,57,when you love a woman,journey,journey,1997,
57,58,up jumps da boogie,timbaland & magoo,timbaland & magoo  featuring  missy elliott  and  aaliyah,1997, missy elliott  and  aaliyah
58,59,i don't want to,toni braxton,toni braxton,1997,
59,60,everyday is a winding road,sheryl crow,sheryl crow,1997,
60,61,cold rock a party,mc lyte,mc lyte,1997,
61,62,pony,ginuwine,ginuwine,1997,
62,63,building a mystery,sarah mclachlan,sarah mclachlan,1997,
63,64,i love you always forever,donna lewis,donna lewis,1997,
64,65,your woman,white town,white town,1997,
65,66,c u when u get there,coolio,coolio  featuring 40 thevz,1997,40 thevz
66,67,change the world,eric clapton,eric clapton,1997,
67,68,my baby daddy,puff daddy,b-rock and the bizz,1997,
68,69,tubthumping,chumbawamba,chumbawamba,1997,
69,70,gotham city,r. kelly,r. kelly,1997,
70,71,last night,az yet,az yet,1997,
71,72,espn presents the jock jam,various artists,various artists,1997,
72,73,big daddy,heavy d,heavy d,1997,
73,74,what about us,total,total,1997,
